Partname,PowerW,Speedmms,EnergydensityJmm3,Hatchdistancemm,Layerthickmm,Time,Numpoints,EMapproxmean,EMapproxstd,EMapproxenergy,cD2detailpeak,cD2detailstd,cD2detailenergy,cD2detailentropy,cD2detailvariance,cD2detailskew,cD2detailkurt,cD1detailpeak,cD1detailstd,cD1detailenergy,cD1detailentropy,cD1detailvariance,cD1detailskew,cD1detailkurt,EMADRratio,EManomalydensity
H1_remelt,159.2,1200,73.7,0.06,0.03,1.8,193992,1669.05002,60.80777034,1.35E+11,66.72613028,17.53622373,14915641.66,-95603775.98,307.5191427,0.025431755,-0.196489336,66.02303011,18.0802748,31708654.88,-205300056.2,326.896337,-0.03163143,-0.261082862,2901.824107,0.001216507
H1_remelt,159.2,1200,73.7,0.06,0.03,1.83,197784,1665.728049,61.10283371,1.37E+11,67.34113811,17.50875539,15159733.73,-97115330.54,306.5565152,0.027649573,-0.19943303,68.43363731,18.09135417,32368087.27,-209541775.1,327.2970957,-0.036472697,-0.262988091,2890.808774,0.001061732
H1_remelt,159.2,1200,73.7,0.06,0.03,1.86,195584,1667.338033,63.08069968,1.36E+11,71.3560495,17.55198343,15065156.36,-96592008.3,308.0721223,0.04440569,-0.200651687,70.21998351,18.11121261,32078345.61,-207678653.2,328.0160222,-0.024064467,-0.276525759,2887.781943,0.000961194
H1_remelt,159.2,1200,73.7,0.06,0.03,1.89,192384,1673.522439,63.43059282,1.35E+11,75.93720058,17.46062451,14664724.87,-93970401.53,304.8734084,0.033484018,-0.176526561,71.51641967,18.11208618,31556568.33,-204413599.4,328.0476659,-0.0265411,-0.263270724,2918.761108,0.001039555
H1_remelt,159.2,1200,73.7,0.06,0.03,1.92,191403,1672.189691,62.10622816,1.34E+11,70.25113439,17.48347799,14628253.95,-93716816.91,305.6720025,0.052330685,-0.19480638,71.4351658,18.19251751,31675361.47,-205494355.8,330.9676934,-0.028676593,-0.262234902,2893.951459,0.001003082
H1_remelt,159.2,1200,73.7,0.06,0.03,1.95,195297,1668.928693,60.40088365,1.36E+11,71.96622042,17.45298647,14873748.13,-95197591.27,304.6067366,0.054630935,-0.201382814,69.51821278,18.1892586,32308083.46,-209635091.2,330.8491285,-0.028036461,-0.251055593,2886.33723,0.001105968
H1_remelt,159.2,1200,73.7,0.06,0.03,1.98,190337,1668.969718,60.72881864,1.33E+11,68.40484296,17.47596729,14534276.17,-93110643.69,305.4094326,0.037792269,-0.182207701,71.3990574,18.105237,31197344.66,-202248599.6,327.7996067,-0.031817437,-0.233468531,2902.428505,0.001208339
H1_remelt,159.2,1200,73.7,0.06,0.03,2.01,193452,1670.684572,62.38941413,1.35E+11,68.4567869,17.4733742,14767766.84,-94521673.74,305.318806,0.037998022,-0.216924873,77.07005394,18.10248504,31698117.63,-205304760.2,327.6999645,-0.044880079,-0.257515957,2909.49803,0.001023478
H1_remelt,159.2,1200,73.7,0.06,0.03,2.04,194487,1673.540176,63.75230194,1.36E+11,67.02597897,17.50775736,14905224.54,-95572409.18,306.5215679,0.03188351,-0.188429202,65.28526694,18.11396265,31908262.18,-206759078.5,328.1156431,-0.027464436,-0.259038107,2913.456602,0.00099746
H1_remelt,159.2,1200,73.7,0.06,0.03,2.07,188766,1673.418723,61.15498265,1.32E+11,69.57645883,17.42756219,14334748.64,-91738689.38,303.7199237,0.044302816,-0.190543643,75.29270487,18.10129317,30926246,-200338561.5,327.6568145,-0.030505473,-0.248656538,2923.950214,0.001112453
